"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"09-RC-379269","Region 08, Cleveland, Ohio","BW INDUSTRIAL LLC",2026-01-16,NA,"Altoona","PA","A",2026-03-18,30,3,"International Union of Bricklayers and Allied Craftworkers",8,NA,NA,NA,NA,1,9,NA,5,NA,"International Union of Bricklayers and Allied Craftworkers","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time bricklayers employed by BW Industrial LLC within the United States using the Steiny/Daniel formula.
Excluded: All other employees, laborers, scaffolders, millwrights, mechanical employees, operating engineers, guards, and supervisors as defined in the National Labor Relations Act.

Also eligible to vote are all employees in the unit(s) who either (1) were employed a total of 30 working days or more within the 12 months preceding the election eligibility date or (2) had some employment in the 12 months preceding the election eligibility date and were employed 45 working days or more within the 24 months immediately preceding the election eligibility date. However, employees meeting either of those criteria who were terminated for cause or who quit voluntarily prior to the completion of the last job for which they were employed, are not eligible.",NA,NA,NA,61,2026-01-01,2026-01-01,"26-50",TRUE,"RC","Yes","International Union of Bricklayers and Allied Craftworkers",1,"BAC",0.888888888888889,"Still Open",21
"12-RC-360012","Region 12, Tampa, Florida","Pardue Masonry of Central Florida, Inc.",2025-02-07,2025-03-26,"Tampa","FL","A",2025-03-12,25,NA,"International Union of Bricklayers and Allied Craftworkers, Local 8 Southeast",0,NA,NA,NA,NA,19,19,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All masons and laborers employed by the Employer who perform work in Hillsborough, Manatee, Pasco, Pinellas and Polk Counties, Florida.

Excluded: All other employees, office clerical employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,33,2025-01-01,2025-01-01,"11-25",TRUE,"RC","Yes","International Union of Bricklayers and Allied Craftworkers, Local 8 Southeast",1,"BAC",0,"No",6
"18-RC-344642","Region 18, Minneapolis, Minnesota","5G Masonry, LLC d/b/a Rosales Masonry",2024-06-17,2024-09-10,"Bondurant","IA","A",2024-07-23,54,NA,"Bricklayers and Allied Craftworkers, Local 3 Iowa",6,NA,NA,NA,NA,37,43,NA,10,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time bricklayers and mason helpers employed by the Employer within the Iowa counties of Boone, Dallas, Jasper, Madison, Marion, Polk, Story and Warren. 
EXCLUDED: All professional employees, office clerical employees, and guards and supervisors, as defined in the Act, and all other employees.",NA,NA,NA,36,2024-07-01,2024-04-01,"51-100",TRUE,"RC","Yes","Bricklayers and Allied Craftworkers, Local 3 Iowa",1,"BAC",0.13953488372093,"No",11
"05-RM-343774","Region 05, Baltimore, Maryland","Imperial Stone Paving Corporation",2024-06-05,2024-07-22,"Elkridge","MD","A",2024-07-12,45,NA,"Bricklayers & Allied Craftworkers Local #1 of MD, VA & DC, AFL-CIO",1,NA,NA,NA,NA,34,35,NA,3,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time foremen, right-hand men, and laborers employed by the Employer at its facility currently located at 7020 Troy Hill Drive, Elkridge, Maryland; but excluding all other employees, managerial employees, truck drivers, professional employees, office clerical employees, confidential employees, guards, and supervisors as defined in the Act.",NA,NA,NA,37,2024-07-01,2024-04-01,"26-50",TRUE,"RM","Yes","Bricklayers & Allied Craftworkers Local #1 of MD, VA & DC, AFL-CIO",1,"BAC",0.0285714285714286,"No",10
"12-RC-316164","Region 12, Tampa, Florida","General Caulking & Coatings Co., Inc.",2023-04-14,2023-06-01,"Riviera Beach","FL","A",2023-05-17,8,NA,"International Union of Bricklayers and Allied Craftworkers, Local 8 Southeast, AFL-CIO",5,NA,NA,NA,NA,3,0,NA,NA,NA,"International Union of Bricklayers and Allied Craftworkers, Local 8 Southeast, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time and regular part-time caulkers and water-proofers employed by the Employer out of its facility located at 3750 Consumer Street. Unit A. Riviera Beach. Florida.
EXCLUDED:  All other employees, office clerical employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,33,2023-04-01,2023-04-01,"6-10",TRUE,"RC","Yes","International Union of Bricklayers and Allied Craftworkers, Local 8 Southeast, AFL-CIO",1,"BAC",NA,"Yes",0
"18-RC-297886","Region 18, Minneapolis, Minnesota","Des Moines Marble & Mantel Co.",2022-06-17,2022-08-26,"Des Moines","IA","A",2022-08-19,24,2,"Bricklayers and Allied Craftworkers, Local 3 Iowa",9,NA,NA,NA,NA,10,19,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time tile finishers and tile setters employed by the Employer at, or working out of, the Employer’s facility currently located at 1507 Ohio Street, Des Moines, Iowa; but excluding all other employees, office employees, and guards and supervisors, as defined in the National Labor Relations Act, as amended.",NA,NA,NA,63,2022-07-01,2022-04-01,"11-25",TRUE,"RC","Yes","Bricklayers and Allied Craftworkers, Local 3 Iowa",1,"BAC",0.473684210526316,"No",5
"10-RC-261728","Region 10, Atlanta, Georgia","TMW Contracting, LLC",2020-06-16,2020-08-13,"Bowling Green","KY","A",2020-08-05,18,NA,"International Union of Bricklayers and Allied Craftworkers Local 4 IN/KY",0,NA,NA,NA,NA,8,8,NA,3,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All Bricklayers, Bricklayer Tenders, Laborers, and Apprentices employed by TMW Contracting, LLC out of its facility located at 2504 Thompson Drive, Bowling Green, Kentucky, Excluded: All other employees, office clerical employees, professional employees, guards, and supervisors as defined in the Act",NA,NA,NA,50,2020-07-01,2020-04-01,"11-25",TRUE,"RC","Yes","International Union of Bricklayers and Allied Craftworkers Local 4 IN/KY",1,"BAC",0,"No",10
"13-RC-241754","Region 13, Chicago, Illinois","AA Restoration, LLC",2019-05-20,2019-07-16,"Chicago","IL","A",2019-06-21,6,NA,"INTERNATIONAL UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS LOCAL 21 OF ILLINOIS",5,NA,NA,NA,NA,1,6,NA,4,"Y",NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Masonry Restoration workers including Bricklayers, Tuckpointers, and Caulkers.
Excluded: All General Laborers, clerical employees, confidential employees, professional employees, managerial employees, guards and supervisors as defined by the Act.",NA,NA,NA,32,2019-04-01,2019-04-01,"6-10",TRUE,"RC","Yes","INTERNATIONAL UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS LOCAL 21 OF ILLINOIS",1,"BAC",0.833333333333333,"Yes",0
"18-RC-197838","Region 18, Minneapolis, Minnesota","CMS, LLC",2017-04-28,2017-06-27,"Grand Forks","ND","A",2017-06-20,13,NA,"BRICKLAYERS AND ALLIED CRAFTWORKERS, LOCAL UNION 1 MINNESOTA/NORTH DAKOTA",1,NA,NA,NA,NA,4,5,NA,NA,NA,NA,"Initial","Revised Single Labor Org","Certification of Results","Closed","All bricklayers and masons employed by the Employer out of its Grand Forks, North Dakota facility; excluding all office staff and guards and supervisors, as defined by the Act.


Also eligible to vote are all employees in the unit who either (1) were employed a total of 30 working days or more within the 12 months preceding the election eligibility date or (2) had some employment in the 12 months preceding the election eligibility date and were employed 45 working days or more within the 24 months immediately preceding the election eligibility date.  However, employees meeting either of those criteria who were terminated for cause or who quit voluntarily prior to the completion of the last job for which they were employed, are not eligible.",NA,NA,NA,53,2017-04-01,2017-04-01,"11-25",TRUE,"RC","Yes","BRICKLAYERS AND ALLIED CRAFTWORKERS, LOCAL UNION 1 MINNESOTA/NORTH DAKOTA",1,"BAC",0.2,"No",8
"18-RC-197838","Region 18, Minneapolis, Minnesota","CMS, LLC",2017-04-28,2017-06-27,"Grand Forks","ND","A",2017-05-17,13,NA,"BRICKLAYERS AND ALLIED CRAFTWORKERS, LOCAL UNION 1 MINNESOTA/NORTH DAKOTA",1,NA,NA,NA,NA,2,3,NA,5,"Y",NA,"Initial","Single Labor Organization","Certification of Results","Closed","All bricklayers and masons employed by the Employer out of its Grand Forks, North Dakota facility; excluding all office staff and guards and supervisors, as defined by the Act.


Also eligible to vote are all employees in the unit who either (1) were employed a total of 30 working days or more within the 12 months preceding the election eligibility date or (2) had some employment in the 12 months preceding the election eligibility date and were employed 45 working days or more within the 24 months immediately preceding the election eligibility date.  However, employees meeting either of those criteria who were terminated for cause or who quit voluntarily prior to the completion of the last job for which they were employed, are not eligible.",NA,NA,NA,19,2017-04-01,2017-04-01,"11-25",FALSE,"RC","Yes","BRICKLAYERS AND ALLIED CRAFTWORKERS, LOCAL UNION 1 MINNESOTA/NORTH DAKOTA",1,"BAC",0.333333333333333,"No",10
"02-RC-195510","Region 02, New York, New York","Bio-Bright NY, LLC",2017-03-27,2017-05-05,"Long Island City","NY","A",2017-04-27,17,NA,"The Marble Polishers and Maintenance Finishers Local No. 7 of the International Union of Bricklayers and Allied Craftsmen",17,NA,NA,NA,NA,0,17,NA,NA,NA,"The Marble Polishers and Maintenance Finishers Local No. 7 of the International Union of Bricklayers and Allied Craftsmen","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time tile restoration workers officially known as Tile Grout Field Worker.

Excluded:  All other employees, including office clericals, professional employees, and supervisors and guards as defined by the Act.",NA,NA,NA,31,2017-04-01,2017-01-01,"11-25",TRUE,"RC","Yes","The Marble Polishers and Maintenance Finishers Local No. 7 of the International Union of Bricklayers and Allied Craftsmen",1,"BAC",1,"Yes",0
"19-RC-194364","Region 19, Seattle, Washington","Zak Tesoro Masonry, Inc.",2017-03-06,2017-10-26,"Bozeman","MT","A",2017-10-18,14,NA,"Local #2 WA/ID/MT of the International Union of Bricklayers and Allied Craftworkers, AFL-CIO",1,NA,NA,NA,NA,4,5,NA,1,NA,NA,"Rerun","Single Labor Organization","Certification of Results","Closed","All masonry and support employees of the Employer involved in jobsite construction and working out of the Employer's Manhattan, Montana, facility; excluding office clerical employees and supervisors as defined in the Act.",NA,NA,NA,226,2017-10-01,2017-01-01,"11-25",TRUE,"RC","Yes","Local #2 WA/ID/MT of the International Union of Bricklayers and Allied Craftworkers, AFL-CIO",1,"BAC",0.2,"No",9
"19-RC-194364","Region 19, Seattle, Washington","Zak Tesoro Masonry, Inc.",2017-03-06,2017-10-26,"Bozeman","MT","A",2017-05-03,9,1,"Local #2 WA/ID/MT of the International Union of Bricklayers and Allied Craftworkers, AFL-CIO",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All masonry and support employees of the Employer involved in jobsite construction and working out of the Employer's Manhattan, Montana, facility; excluding office clerical employees and supervisors as defined in the Act.",NA,NA,NA,58,2017-04-01,2017-01-01,"6-10",FALSE,"RC","Yes","Local #2 WA/ID/MT of the International Union of Bricklayers and Allied Craftworkers, AFL-CIO",1,"BAC",NA,"No",9
